site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
38,2021,2,1,1,a,-12.52,1.9,-24.5,-9.64,-15.49,2.61,0.03,95.9,95.7,100,81.3,0.67,0,0,-351.18,2,0,0,26
38,2021,3,1,1,a,-4.3,10.6,-24.9,0.47,-8.16,7.55,0.08,89.1,89.2,100,47.3,20.15,7.29,0,-153.4,11,2,0,20
38,2021,4,1,1,a,2.47,13.4,-6.2,6.77,-1.26,15.9,0.2,81.9,79.3,100,29.6,75.5,50.67,42.77,-1.43,28,9,7,2
38,2021,5,1,1,a,9.13,31.3,-5.1,15.15,3.97,17.98,0.24,73.4,75.3,100,24.7,283.07,276.93,259.69,0,31,26,22,0
38,2021,6,1,1,a,18.88,34.3,5.6,25.88,12.73,13.85,0.21,67,64.6,100,28.3,566.48,566.48,566.48,0,30,30,30,0
38,2021,7,1,1,a,20.09,34.8,6.6,26.46,14.21,12.26,0.18,63.9,67.8,100,34.4,622.91,622.91,622.91,0,31,31,31,0
38,2021,8,1,1,a,13.72,25.4,4.7,18.25,10.29,10.66,0.12,91.4,88.8,100,39.4,425.27,425.27,425.27,0,31,31,31,0
38,2021,9,1,1,a,6.56,15,0.3,10.18,3.5,5.4,0.06,91.6,92.2,100,56.2,196.82,194.04,174.61,0,30,29,24,0
38,2021,10,0.22580645161290322,0.22580645161290322,a,7.79,12.7,4.7,10.34,6.16,3.74,0.04,92,93.6,100,67.2,54.53,54.53,54.53,0,7,7,7,0
39,2019,9,0.5333333333333333,0.5333333333333333,a,5.1,10.6,0,7.73,2.62,5.7,0.06,92.9,91.1,98.9,65.4,81.61,66.67,58.68,0,16,10,8,0
39,2019,10,1,1,a,2.03,9.6,-5.5,3.6,0.25,3.04,0.03,98.1,96.7,100,74.3,73.22,50.17,34.47,-10.32,27,9,5,4
39,2019,11,1,1,a,-1.99,4.6,-15.2,-0.57,-3.82,1.86,0.02,95.8,95.8,98.6,89.2,13.02,0,0,-72.78,8,0,0,22
39,2019,12,1,1,a,-2.06,1.3,-18,-0.6,-3.65,1.88,0.02,97.2,96.8,99.1,90.2,3.83,0,0,-67.59,12,0,0,19
39,2020,1,1,1,a,-2.5,2.8,-18.1,-0.67,-4.39,2.54,0.03,95.5,95.2,98.6,83.5,7.49,0,0,-85.08,10,0,0,21
39,2020,2,1,1,a,-3.86,2.5,-17.7,-1.77,-6.44,2.34,0.02,94.4,94.1,98,85.2,7.12,0,0,-119.11,10,0,0,19
39,2020,3,1,1,a,-1.99,5.6,-14.8,0.57,-5.38,8.48,0.1,86.3,84.8,96.7,56.1,17.29,3.16,0,-78.83,11,1,0,20
39,2020,4,1,1,a,0.64,8.5,-11.1,3.63,-2.64,7.52,0.09,80.7,79.7,94.4,48.8,34.42,17.86,0,-15.15,21,5,0,9
39,2020,5,1,1,a,7.26,22.7,-3.4,12.5,2.02,13.08,0.2,65.8,66.7,94,30.6,225.15,218.73,185.28,0,31,28,20,0
39,2020,6,1,1,a,17.53,32.3,6,23.69,12.08,9.28,0.14,60.8,64.2,93.1,34,525.88,525.88,525.88,0,30,30,30,0
39,2020,7,1,1,a,15.52,30.1,8.8,21.03,11.74,7.7,0.1,80,80.2,95.4,37,481.12,481.12,481.12,0,31,31,31,0
39,2020,8,1,1,a,14.36,24.1,6.2,18.2,10.95,4.66,0.06,83.2,83.4,95.4,56.6,445.17,445.17,445.17,0,31,31,31,0
39,2020,9,1,1,a,9.82,16.7,2.3,12.61,7.04,2.97,0.03,92.8,92.2,97.2,73.8,294.5,294.5,294.5,0,30,30,30,0
39,2020,10,1,1,a,5.66,13.4,-2.3,7.43,3.89,3.12,0.03,94.3,93.2,97.3,75.7,177.74,166.93,154.75,-2.4,28,20,17,3
39,2020,11,1,1,a,1.43,9.4,-5.5,3.03,-0.33,4.75,0.05,93.2,91.9,97.5,68.6,58,41.74,30.91,-15.09,20,8,5,10
39,2020,12,1,1,a,-2.61,2.7,-9.5,-1.08,-4.17,1.79,0.02,94,94.5,97.8,90.7,5.87,0,0,-86.66,7,0,0,24
39,2021,1,1,1,a,-8.6,0.9,-29.2,-6.37,-11.12,3.52,0.04,92.4,92,97.5,82.6,0.23,0,0,-266.72,3,0,0,28
39,2021,2,1,1,a,-12.19,2.6,-25.4,-9.45,-14.9,2.41,0.03,88.9,89.3,97.2,81.9,1.73,0,0,-343.15,2,0,0,26
39,2021,3,1,1,a,-3.38,10.3,-29.1,0.81,-7.03,6.62,0.08,81.5,81.3,95.5,42.1,28.43,15.64,0,-133.15,13,4,0,18
39,2021,4,1,1,a,3.09,15.5,-4,8.01,-0.51,12.88,0.17,75.2,74.6,95.3,30.6,93.13,60.7,49.74,-0.44,29,11,8,1
39,2021,5,0.3548387096774194,0.3548387096774194,a,4.07,13.4,-3.6,8.75,0.29,16.09,0.24,58.9,66.1,94.4,29.2,44.76,36.6,28.04,0,11,6,4,0
40,2019,9,0.5333333333333333,0.5333333333333333,a,4.96,11.3,-1.6,7.92,2.22,6.41,0.07,93.1,90.9,99.1,58.1,79.32,71.82,57.93,0,16,12,8,0
40,2019,10,1,1,a,1.94,10.3,-5.7,3.69,0.04,4.81,0.05,98.7,96.4,100,70.9,71.87,53.53,45.48,-11.6,25,9,7,6
40,2019,11,0.26666666666666666,0.26666666666666666,a,-6.13,0.4,-14.3,-4.15,-8.8,2.48,0.03,96.1,95.7,100,90.7,0,0,0,-49.02,0,0,0,8
