site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
2,2021,5,1,1,1,0.6774193548387096,4.87,11.22,-0.22,5.41,4.32,6.19,20,-1.25,8.7,3.65,6.56,21.34,-2.72,9.72,3.42,7.04,0.2,33,35.9,56.9,31.4,151.16,147.29,143.78,-0.34,28,20,19,3,192.92,190.95,186.98,-0.96,26,21,20,5,205.18,200.88,195.92,-1.66,27,21,20,4
2,2021,6,1,1,1,1,11.88,16.91,6.16,12.51,11.17,15.3,25.75,4.75,18.94,10.92,15.66,26.66,4.41,19.77,10.72,2.73,0.1,27.4,27.2,31.9,20.7,356.41,356.41,356.41,0,30,30,30,0,458.93,458.93,458.93,0,30,30,30,0,469.79,469.79,469.79,0,30,30,30,0
2,2021,7,1,1,1,1,14.61,17.53,11.16,15.24,13.85,17.06,26,7.88,20.57,13.06,17.22,26.72,7.22,21.13,12.74,4.3,0.26,17.1,16.4,27.6,8.6,452.76,452.76,452.76,0,31,31,31,0,528.89,528.89,528.89,0,31,31,31,0,533.91,533.91,533.91,0,31,31,31,0
2,2021,8,1,1,1,1,12.23,14.78,9.16,12.65,11.79,12.55,17.88,5.75,14.83,10.12,12.46,18.34,5.09,15.07,9.73,4.38,0.17,25.1,26.1,55.7,20.4,379.28,379.28,379.28,0,31,31,31,0,389.1,389.1,389.1,0,31,31,31,0,386.16,386.16,386.16,0,31,31,31,0
2,2021,9,1,1,1,1,7.44,10.34,4.78,7.79,7.06,6.33,13.38,-0.81,8.52,3.79,6.09,13.59,-1.66,8.62,3.21,0.9,0.03,27.9,27.5,29.9,25.2,223.2,223.2,223.2,0,30,30,30,0,189.87,184.94,162.42,0,30,28,23,0,182.84,178.88,148.41,0,30,28,21,0
2,2021,10,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.1935483870967742,7,7.41,6.53,7.2,6.81,7.1,9.19,3.69,8.67,5.58,7.01,9.47,3.09,8.81,5.29,0.51,0.02,27.4,27.4,29.3,26.5,41.99,41.99,41.99,0,6,6,6,0,42.58,42.58,42.58,0,6,6,6,0,42.04,42.04,42.04,0,6,6,6,0
4,2019,9,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,7.18,10.24,5.11,7.63,6.86,4.7,10.81,-1.07,7.78,1.82,3.41,13.88,-6.12,10.23,-2.29,0.29,0.01,55.5,55.5,55.8,54.4,114.92,114.92,114.92,0,16,16,16,0,75.25,63.08,55.06,0,16,10,8,0,56.33,51.28,46.53,-1.7,12,8,7,4
4,2019,10,1,1,1,1,4.34,8.24,1.99,4.67,4.08,2.67,9,-1.94,3.84,1.39,1.21,9.5,-9.88,3.92,-1.68,0.3,0.01,57.3,57.3,57.4,55.1,134.63,127.67,36.89,0,31,28,6,0,84.44,48.52,19.3,-1.73,28,10,3,3,53.19,36.14,32.58,-15.67,19,6,5,12
4,2019,11,1,1,1,0.7666666666666667,1.51,2.24,0.86,1.57,1.46,0.4,1.56,-0.57,0.52,0.28,-1.15,1.94,-5.56,-0.6,-1.95,0.25,0,57.2,57.3,57.6,57,45.43,0,0,0,30,0,0,0,13.04,0,0,-1.03,27,0,0,3,3.09,0,0,-37.73,3,0,0,27
4,2019,12,1,1,1,0,0.81,0.99,0.68,0.82,0.79,0.12,0.18,0.06,0.14,0.1,-0.5,-0.38,-1.75,-0.44,-0.59,NA,NA,NA,NA,NA,NA,25.17,0,0,0,31,0,0,0,3.78,0,0,0,31,0,0,0,0,0,0,-15.42,0,0,0,31
4,2020,1,1,1,1,0,0.53,0.74,0.43,0.55,0.52,0.11,0.18,0,0.13,0.09,-0.37,-0.31,-0.38,-0.34,-0.38,NA,NA,NA,NA,NA,NA,16.56,0,0,0,31,0,0,0,3.37,0,0,0,31,0,0,0,0,0,0,-11.37,0,0,0,31
4,2020,2,1,1,1,0,0.47,0.61,0.3,0.48,0.46,0.13,0.18,0,0.14,0.12,-0.3,-0.25,-0.38,-0.28,-0.32,NA,NA,NA,NA,NA,NA,13.61,0,0,0,29,0,0,0,3.84,0,0,0,29,0,0,0,0,0,0,-8.8,0,0,0,29
4,2020,3,1,1,1,0,0.35,0.43,0.24,0.36,0.33,0.07,0.12,0,0.08,0.06,-0.32,-0.25,-0.38,-0.3,-0.33,NA,NA,NA,NA,NA,NA,10.79,0,0,0,31,0,0,0,2.21,0,0,0,31,0,0,0,0,0,0,-9.95,0,0,0,31
4,2020,4,1,1,1,0,0.27,0.99,0.11,0.31,0.25,0.16,1.68,-0.07,0.26,0.08,-0.25,1,-0.38,-0.14,-0.34,NA,NA,NA,NA,NA,NA,8.25,0,0,0,30,0,0,0,4.86,0,0,-0.02,27,0,0,4,0.82,0,0,-8.34,3,0,0,27
4,2020,5,1,1,1,0.967741935483871,5.63,10.55,0.86,6.16,5.28,6.9,15.06,0.93,8.97,5.05,7.42,25,-2,14.78,1.01,0.46,0.01,58.6,58.4,58.7,56.1,174.54,164.14,119.96,0,31,26,16,0,213.87,209.32,184.59,0,31,29,23,0,229.99,221.85,200.27,0,31,27,22,0
4,2020,6,1,1,1,1,12.47,15.3,9.61,13.03,12,14.41,24.87,7.56,19.34,10.44,16.65,37.75,1.88,28.25,6.45,1.47,0.03,56,56.4,58.6,53.8,374.01,374.01,374.01,0,30,30,30,0,432.26,432.26,432.26,0,30,30,30,0,499.58,499.58,499.58,0,30,30,30,0
4,2020,7,1,1,1,1,13.17,14.61,11.49,13.6,12.78,13.94,21.81,7.31,17.85,10.24,14.82,34.88,2,25.26,6.39,0.4,0.01,56.1,56.3,57.2,55.7,408.23,408.23,408.23,0,31,31,31,0,432.21,432.21,432.21,0,31,31,31,0,459.51,459.51,459.51,0,31,31,31,0
4,2020,8,1,1,1,1,12.61,14.99,9.99,13.13,12.19,12.5,19.87,4.68,15.94,8.74,12.82,31.5,-1.5,23.33,3.94,3.36,0.07,48.6,49.4,56.5,44.7,391,391,391,0,31,31,31,0,387.56,387.56,387.56,0,31,31,31,0,397.38,397.38,397.38,0,31,31,31,0
4,2020,9,1,1,1,1,9.07,11.86,6.61,9.44,8.77,8.37,14.75,3.81,10.53,6.1,7.71,21.38,-1.5,14.68,1.93,6.39,0.12,55.8,53.6,59,43,272.09,272.09,272.09,0,30,30,30,0,251.05,251.05,251.05,0,30,30,30,0,231.26,231.26,210.3,0,30,30,25,0
